batter,des,x,y,pitcher,type,team,inning,first,last,bats,team_abbrev,full.name
488726,Out,112.45,151.61,570649,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,111.45,156.63,450306,H,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,166.67,89.36,543456,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,65.26,82.33,502085,O,H,14,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,99.4,68.27,434622,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,162.65,104.42,435044,H,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,145.58,155.62,573204,O,H,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,149.6,168.67,500779,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,99.4,89.36,607374,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,151.61,172.69,450306,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,129.52,55.22,430661,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,154.62,107.43,499107,O,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,76.31,112.45,425386,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,114.46,103.41,461872,H,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,137.55,150.6,606273,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,39.16,97.39,425386,H,A,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,144.58,155.62,457435,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,66.27,97.39,277417,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,156.63,91.37,448306,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,173.69,92.37,518633,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,93.37,112.45,543243,H,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,62.25,127.51,543070,H,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,183.73,123.49,445060,H,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,144.58,172.69,612672,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,106.43,112.45,488846,H,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,78.31,102.41,518633,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,145.58,172.69,502043,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,139.56,164.66,475115,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,147.59,167.67,543243,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,147.59,155.62,431148,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,138.55,159.64,456051,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,139.56,154.62,462985,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,71.29,142.57,543506,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Error,106.43,155.62,543606,E,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,120.48,81.33,452657,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,142.57,162.65,433587,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,54.22,79.32,430661,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
